PLAYER_NAME,TEAM_NAME,POINTS
Breanna Campbell,Marshall,436
Aaronette Vonleh,Baylor,436
Faith Lee,AR Little Rock,435
Sophia Wiard,Toledo,433
Adryana Quezada,SDSU,433
DeAnna Wilson,Illinois St.,433
Alexis Callins,North Alabama,433
Iyana Moore,Vanderbilt,432
Mikaylah Williams,LSU,431
Taryn Barbot,Charleston,431
Raven Thompson,Clemson,430
Chance Gray,Ohio St.,430
Jordan Harrison,West Virginia,429
Sonia Smith,George Mason,427
Jessika Carter,Mississippi St.,427
Hannah Cooper,Oral Roberts,426
Veronica Charles,Morehead St.,425
Kelsey Ransom,Georgetown,425
Maddy Westbeld,Notre Dame,425
Molly Kaiser,N. Mex. St.,425
Dontavia Waggoner,Boston Coll.,425
Kailey Woolston,BYU,425
Harmoni Turner,Harvard,424
Amellia Bromenschenkel,PFW,424
Shaunae Brown,Arkansas St.,423
Kaitlyn Chen,Connecticut,422
Cotie McMahon,Ohio St.,422
Katie Shumate,Kent St.,422
Kyren Whittington,Tulane,422
Evanne Turner,UC Davis,421
Jenna Annecchiarico,Charleston,420
Tova Sabel,UC Davis,420
Deaja Richardson,Coastal Car.,420
Megan McConnell,Duquesne,419
Summah Hanson,UC Irvine,419
Aislynn Hayes,Marshall,419
Sam Galanopoulos,Loyola Chicago,418
Amy Velasco,Bowling Green,418
Stina Almqvist,Pennsylvania,418
Sanaa' St. Andre,Tennessee St.,418
Catherine Alben,Charleston Sou.,418
Alyssa Fisher,Loyola Chicago,417
Khari Clark,Stony Brook,416
Eleonora Villa,Washington St.,415
Natalie Pasco,Boise St.,414
Sh'Diamond McKnight,Miss. Valley St.,414
Vittoria Blasigh,South Florida,414
Kate Martin,Iowa,413
Kiki Jefferson,Louisville,413
Jewel Spear,Tennessee,412
Elise Williams,Wake Forest,411
Khamari Mitchell-Steen,Fla Gulf Coast,411
Laura Ziegler,St. Joseph's,410
Kennedy Johnson,St. Mary's,410
Aicha Coulibaly,Texas A&M,410
