PLAYER_NAME,Team,Class,Height,Position,PLAYER_ID,TEAM_NAME,GAMES,MINUTES_PLAYED,FIELD_GOALS_MADE,FIELD_GOAL_ATTEMPTS,FIELD_GOAL_PERCENTAGE,THREE_POINTS_MADE,THREE_POINT_ATTEMPTS,THREE_POINT_PERCENTAGE,FREE_THROWS_MADE,FREE_THROW_ATTEMPTS,FREE_THROW_PERCENTAGE,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS,POINTS
Nyla Hampton, Ball St. (MAC),Junior,67,Guard,ncaaw.p.64558,Michigan St.,31,1042,110,224,49.1,16,64,25,35,48,72.9,40,72,112,152,65,104,15,45,271
Destini Lombard, SFA (WAC),Senior,69,Guard,ncaaw.p.63861,Purdue,31,960,121,257,47.1,28,98,28.6,41,57,71.9,30,96,126,120,55,80,17,53,311
Peyton Carter, Tennessee Tech (OVC),Senior,68,Guard,ncaaw.p.64820,Tennessee Tech,30,830,68,176,38.6,48,130,36.9,35,43,81.4,56,99,155,110,51,46,4,52,219
Megan McConnell, Duquesne (Atlantic 10),Junior,67,Guard,ncaaw.p.64307,Duquesne,32,1230,139,300,46.3,53,128,41.4,88,131,67.2,50,224,274,150,67,62,8,50,419
Niya Fields, Norfolk St. (MEAC),Junior,68,Guard,ncaaw.p.65211,Norfolk St.,29,924,70,175,40,33,85,38.8,20,27,74.1,12,63,75,116,57,74,7,66,193
Filipa Barros, California Baptist (WAC),Sophomore,69,Guard,ncaaw.p.71004,California Baptist,23,749,105,267,39.3,37,121,30.6,48,60,80,43,128,171,103,49,53,7,38,295
Mary Kay Naro, Boise St. (Mountain West),Senior,71,Guard,ncaaw.p.64478,Boise St.,29,892,44,140,31.4,15,64,23.4,20,28,71.4,25,83,108,128,59,30,21,42,123
Ines Debroise, Rhode Island (Atlantic 10),Sophomore,69,Guard,ncaaw.p.71091,Rhode Island,33,657,47,137,34.3,8,34,23.5,34,46,73.9,10,54,64,101,48,34,1,60,136
Molly Mogensen, Creighton (Big East),Senior,67,Guard,ncaaw.p.64709,Creighton,29,926,87,183,47.5,34,77,44.2,25,31,80.6,26,120,146,120,58,30,8,55,233
Charisma Osborne, UCLA (Pac-12),Senior,69,Guard,ncaaw.p.60881,UCLA,31,1016,156,378,41.3,53,164,32.3,81,91,89,37,115,152,119,55,49,9,64,446
