PLAYER_NAME,Team,Class,Height,Position,PLAYER_ID,TEAM_NAME,GAMES,MINUTES_PLAYED,FIELD_GOALS_MADE,FIELD_GOAL_ATTEMPTS,FIELD_GOAL_PERCENTAGE,THREE_POINTS_MADE,THREE_POINT_ATTEMPTS,THREE_POINT_PERCENTAGE,FREE_THROWS_MADE,FREE_THROW_ATTEMPTS,FREE_THROW_PERCENTAGE,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS,POINTS
Harmoni Turner, Harvard (Ivy League),Junior,70,Guard,ncaaw.p.64038,Harvard,22,734,156,381,40.9,27,101,26.7,85,107,79.4,36,101,137,95,64,46,3,43,424
Jadyn Weltz, Binghamton (America East),Sophomore,67,Guard,ncaaw.p.66621,Binghamton,30,898,114,246,46.3,29,109,26.6,51,65,78.5,21,130,151,135,88,49,2,83,308
Hannah Cooper, Oral Roberts (Summit League),Senior,67,Guard,ncaaw.p.62935,Oral Roberts,29,998,142,336,42.3,26,76,34.2,116,148,78.4,23,81,104,111,76,42,7,65,426
Lucy Olsen, Villanova (Big East),Junior,69,Guard,ncaaw.p.67706,Iowa,30,1087,268,612,43.8,47,158,29.7,114,141,80.9,30,114,144,115,73,57,18,72,697
Addy Brown, Iowa St. (Big 12),Freshman,74,Forward,ncaaw.p.112289,Iowa St.,29,969,148,313,47.3,44,118,37.3,48,64,75,39,207,246,142,93,25,15,59,388
Dayshanette Harris, Clemson (ACC),Senior,67,Guard,ncaaw.p.60462,Clemson,31,824,146,335,43.6,25,76,32.9,123,172,71.5,27,87,114,156,104,54,3,66,440
McKenzie Forbes, Southern California (Pac-12),Senior,72,Guard,ncaaw.p.57843,USC,30,1009,133,360,36.9,60,169,35.5,66,86,76.7,22,70,92,101,62,22,3,63,392
Rana Elhusseini, Buffalo (MAC),Senior,63,Guard,ncaaw.p.112589,Buffalo,29,1042,78,205,38,46,126,36.5,56,62,90.3,28,136,164,108,68,45,0,67,258
Jayden Marable, NIU (MAC),Senior,66,Guard,ncaaw.p.65136,Coastal Car.,30,962,140,361,38.8,22,74,29.7,41,64,64.1,24,129,153,122,86,40,9,35,343
Caroline Lau, Northwestern (Big Ten),Sophomore,69,Guard,ncaaw.p.71536,Northwestern,30,866,86,212,40.6,35,97,36.1,27,39,69.2,25,101,126,163,115,32,9,70,234
Jordyn Dorsey, N.C. A&T (CAA),Junior,69,Guard,ncaaw.p.66979,N.C. A&T,29,940,117,295,39.7,23,81,28.4,127,162,78.4,50,102,152,101,71,40,5,62,384
Tippy Robertson, N.C. Central (MEAC),Senior,64,Guard,ncaaw.p.60695,N.C. Central,27,803,58,163,35.6,12,49,24.5,49,73,67.1,26,99,125,108,69,29,2,59,177
Last-Tear Poa, LSU (SEC),Senior,71,Guard,ncaaw.p.71260,LSU,32,653,40,92,43.5,6,26,23.1,74,87,85.1,7,42,49,99,70,37,11,62,160
Mikyla Tolivert, Georgia St. (Sun Belt),Junior,66,Guard,ncaaw.p.66761,Georgia St.,28,834,134,316,42.4,30,91,33,98,124,79,28,119,147,97,67,55,15,56,396
Diaba Konate, UC Irvine (Big West),Senior,67,Guard,ncaaw.p.60273,UC Irvine,29,766,93,245,38,0,23,0,32,49,65.3,22,46,68,108,78,62,2,70,218
Ally Becki, Ball St. (MAC),Junior,68,Guard,ncaaw.p.66590,Ball St.,31,972,143,341,41.9,63,181,34.8,49,65,75.4,21,122,143,148,108,60,11,69,398
Eleyana Tafisi, Utah Valley (WAC),Junior,66,Guard,ncaaw.p.64503,Appalachian St.,29,742,77,197,39.1,8,34,23.5,33,59,55.9,35,65,100,105,73,47,8,103,195
Ronnie Porter, Wisconsin (Big Ten),Sophomore,64,Guard,ncaaw.p.71494,Wisconsin,29,1010,109,290,37.6,24,98,24.5,49,70,70,49,110,159,122,86,59,3,61,291
Haven Ford, Murray St. (MVC),Freshman,66,Guard,ncaaw.p.112896,Murray St.,29,599,90,226,39.8,26,97,26.8,95,111,85.6,30,97,127,92,60,49,4,73,301
Benthe Versteeg, Sacramento St. (Big Sky),Sophomore,69,Guard,ncaaw.p.67295,Sacramento St.,30,1111,128,358,35.8,11,48,22.9,74,123,60.2,37,71,108,201,141,56,4,88,341
Saniya Rivers, NC State (ACC),Junior,73,Guard,ncaaw.p.67516,N.C. State,29,1009,125,316,39.6,20,77,26,93,125,74.4,18,165,183,117,76,66,25,42,363
Anna Gret Asi, Oklahoma St. (Big 12),Junior,68,Guard,ncaaw.p.66625,Oklahoma St.,30,1023,129,301,42.9,62,162,38.3,61,79,77.2,8,93,101,139,97,44,7,77,381
Amaya Battle, Minnesota (Big Ten),Sophomore,71,Guard,ncaaw.p.70840,Minnesota,31,978,145,370,39.2,10,41,24.4,68,85,80,25,116,141,170,113,46,3,75,368
Denim DeShields, UAB (AAC),Sophomore,65,Guard,ncaaw.p.71196,Mississippi St.,30,996,146,347,42.1,11,64,17.2,87,110,79.1,16,76,92,160,114,38,2,66,390
Nakyah Terrell, High Point (Big South),Junior,66,Guard,ncaaw.p.67813,High Point,31,892,98,252,38.9,24,90,26.7,40,68,58.8,7,119,126,104,73,37,2,54,260
Silvia Nativi, Louisiana Tech (CUSA),Junior,72,Guard,ncaaw.p.66842,Northern Colorado,31,844,74,161,46,23,70,32.9,10,18,55.6,43,64,107,104,76,24,12,64,181
Madison Scott, Ole Miss (SEC),Senior,73,Forward,ncaaw.p.65110,Mississippi,30,923,135,276,48.9,2,9,22.2,101,143,70.6,65,129,194,102,70,26,20,63,373
Celeste Taylor, Ohio St. (Big Ten),Senior,71,Guard,ncaaw.p.60397,Ohio St.,30,860,113,277,40.8,38,118,32.2,41,65,63.1,25,98,123,103,72,70,28,84,305
Taina Mair, Duke (ACC),Freshman,69,Guard,ncaaw.p.70637,Duke,31,976,123,315,39,37,126,29.4,34,39,87.2,19,103,122,114,79,46,6,63,317
Anaiyah Tu'ua, California Baptist (WAC),Sophomore,69,Guard,ncaaw.p.63967,California Baptist,28,840,84,216,38.9,33,105,31.4,54,74,73,33,104,137,96,68,40,8,56,255
Chloe Hodges, Drexel (CAA),Senior,72,Forward,ncaaw.p.64219,Drexel,29,810,104,214,48.6,1,17,5.9,50,61,82,44,107,151,95,66,36,10,53,259
Anne Bair, Manhattan (MAAC),Sophomore,68,Guard,ncaaw.p.71528,Colgate,27,973,78,211,37,35,102,34.3,51,61,83.6,11,63,74,92,69,33,0,42,242
Hailey Van Lith, LSU (SEC),Senior,67,Guard,ncaaw.p.64245,TCU,28,875,113,287,39.4,36,101,35.6,80,98,81.6,12,53,65,103,73,36,11,56,342
Tanajah Hayes, FIU (CUSA),Junior,66,Guard,ncaaw.p.66729,Florida Intl.,24,701,98,234,41.9,19,59,32.2,44,59,74.6,16,62,78,91,64,53,5,36,259
Ta'Niya Latson, Florida St. (ACC),Sophomore,68,Guard,ncaaw.p.70600,Florida St.,32,991,249,566,44,27,98,27.6,155,182,85.2,17,118,135,128,98,50,13,53,680
Brooke Mullin, Drexel (CAA),Senior,71,Guard,ncaaw.p.61061,Drexel,29,884,117,353,33.1,44,138,31.9,21,31,67.7,12,85,97,110,75,44,21,71,299
Loyal McQueen, Alabama (SEC),Senior,68,Guard,ncaaw.p.63929,Clemson,32,972,95,241,39.4,20,67,29.9,97,122,79.5,18,74,92,98,68,25,1,38,307
Iyanna Warren, Howard (MEAC),Senior,63,Guard,ncaaw.p.61106,Howard,26,779,90,300,30,14,61,23,115,147,78.2,14,56,70,87,64,30,2,44,309
Veronica Sheffey, San Diego (WCC),Sophomore,69,Guard,ncaaw.p.71106,SDSU,31,924,135,323,41.8,11,36,30.6,98,133,73.7,35,64,99,158,116,45,10,94,379
Elena Rodriguez, Harvard (Ivy League),Junior,74,Guard,ncaaw.p.66764,Harvard,23,625,94,180,52.2,13,38,34.2,44,61,72.1,46,108,154,77,56,27,16,63,245
Daisha Bradford, ULM (Sun Belt),Senior,68,Guard,ncaaw.p.66678,LA Monroe,32,1081,214,550,38.9,71,227,31.3,120,156,76.9,59,185,244,142,99,56,17,83,619
Tonie Morgan, Georgia Tech (ACC),Sophomore,69,Guard,ncaaw.p.70709,Georgia Tech,32,1022,182,396,46,15,57,26.3,121,180,67.2,50,170,220,165,124,54,9,69,500
Miah Monahan, Eastern Ill. (OVC),Junior,68,Guard,ncaaw.p.66704,Eastern Illinois,33,1184,136,350,38.9,32,125,25.6,66,84,78.6,20,119,139,169,125,43,4,37,370
Elisa Mevius, Siena (MAAC),Sophomore,70,Guard,ncaaw.p.71169,Oregon,28,1002,132,285,46.3,25,93,26.9,43,60,71.7,43,141,184,140,104,121,9,64,332
Amyah Reaves, Hampton (CAA),Junior,67,Guard,ncaaw.p.68125,Hampton,22,667,67,175,38.3,4,27,14.8,41,57,71.9,25,63,88,75,53,54,6,71,179
Kitty Henderson, Columbia (Ivy League),Junior,70,Guard,ncaaw.p.66664,Columbia,27,849,124,258,48.1,29,89,32.6,43,76,56.6,69,96,165,112,75,51,5,67,320
Ashley Hawkins, Gardner-Webb (Big South),Junior,66,Guard,ncaaw.p.100658,Gardner-Webb,30,974,173,410,42.2,31,85,36.5,95,122,77.9,29,85,114,168,125,22,3,70,472
Ella Fajardo, Iona (MAAC),Junior,65,Guard,ncaaw.p.66735,Iona,29,874,64,214,29.9,24,97,24.7,49,59,83.1,32,76,108,99,75,34,2,74,201
Delma Zita, UTEP (CUSA),Junior,68,Guard,ncaaw.p.112152,UTEP,27,682,59,134,44,7,24,29.2,16,31,51.6,13,29,42,83,68,36,2,47,141
Grace Larkins, South Dakota (Summit League),Junior,69,Guard,ncaaw.p.67390,South Dakota,31,990,170,343,49.6,40,107,37.4,115,136,84.6,58,166,224,158,115,48,8,82,495
Mackenzie Amalia, Canisius (MAAC),Senior,65,Guard,ncaaw.p.64371,East. Michigan,29,1007,79,257,30.7,49,152,32.2,43,75,57.3,23,68,91,125,95,38,0,66,250
Maraja Pass, Elon (CAA),Freshman,64,Guard,ncaaw.p.112528,Elon,29,764,93,229,40.6,8,28,28.6,62,96,64.6,29,92,121,108,84,39,2,65,256
Yarden Garzon, Indiana (Big Ten),Sophomore,75,Guard,ncaaw.p.70760,Indiana,29,845,128,279,45.9,57,130,43.8,24,38,63.2,20,106,126,88,66,28,15,81,337
Anaya Peoples, DePaul (Big East),Senior,70,Guard,ncaaw.p.60430,DePaul,31,995,206,468,44,10,56,17.9,99,139,71.2,52,195,247,105,81,74,29,88,521
Amari Whiting, BYU (Big 12),Freshman,70,Guard,ncaaw.p.112276,BYU,32,1008,114,289,39.4,30,96,31.3,79,132,59.8,27,130,157,119,92,49,7,92,337
Sonia Smith, George Mason (Atlantic 10),Senior,67,Guard,ncaaw.p.60938,George Mason,28,878,162,401,40.4,44,138,31.9,59,79,74.7,22,67,89,85,67,33,5,46,427
Breanna Campbell, Marshall (Sun Belt),Senior,65,Guard,ncaaw.p.113107,Marshall,29,718,146,293,49.8,30,77,39,114,144,79.2,48,66,114,109,80,59,2,58,436
Paige Meyer, South Dakota St. (Summit League),Junior,66,Guard,ncaaw.p.67392,S. Dakota St.,27,782,147,284,51.8,35,81,43.2,77,110,70,14,71,85,107,85,39,0,58,406
Veronica Charles, Morehead St. (OVC),Senior,64,Guard,ncaaw.p.67302,Morehead St.,30,982,136,394,34.5,41,142,28.9,112,140,80,28,84,112,122,95,75,0,75,425
Nya Threatt, UT Arlington (WAC),Sophomore,66,Guard,ncaaw.p.71279,UT Arlington,30,792,48,160,30,14,54,25.9,58,83,69.9,25,74,99,86,74,37,8,71,168
Gemma Nunez, Campbell (CAA),Sophomore,67,Guard,ncaaw.p.70646,Campbell,29,911,57,175,32.6,14,71,19.7,34,43,79.1,11,121,132,98,77,38,6,48,162
Grace Cave, Omaha (Summit League),Junior,67,Guard,ncaaw.p.67273,Nebraska Omaha,29,847,116,281,41.3,40,108,37,84,103,81.6,29,86,115,97,75,43,13,71,356
Alexis Mead, Western Ky. (CUSA),Junior,65,Guard,ncaaw.p.67352,W. Kentucky,31,977,122,296,41.2,48,133,36.1,57,76,75,40,90,130,126,100,61,2,80,349
Sydney Burns, UC Davis (Big West),Junior,69,Guard,ncaaw.p.67399,UC Davis,30,728,61,143,42.7,12,59,20.3,40,49,81.6,11,70,81,105,80,30,0,39,174
Samantha Johnston, Southern Utah (WAC),Senior,72,Guard,ncaaw.p.64321,Southern Utah,29,988,93,266,35,72,215,33.5,37,47,78.7,4,122,126,99,80,27,30,54,295
Kameryn Dorsey, Saint Francis (PA) (NEC),Freshman,66,Guard,ncaaw.p.113351,St. Francis (PA),29,704,46,155,29.7,2,16,12.5,11,21,52.4,14,87,101,97,75,34,4,67,105
Keshuna Luckett, Jackson St. (SWAC),Senior,68,Guard,ncaaw.p.61415,Jackson St.,29,669,53,168,31.5,10,48,20.8,75,93,80.6,18,55,73,111,89,25,3,50,191
Trinity San Antonio, Grand Canyon (WAC),Junior,70,Guard,ncaaw.p.67313,Grand Canyon,27,790,124,282,44,15,45,33.3,40,51,78.4,25,81,106,92,76,62,4,78,303
Domonique Davis, Southern Miss. (Sun Belt),Senior,66,Guard,ncaaw.p.61003,Southern Miss,30,940,203,455,44.6,47,129,36.4,141,176,80.1,12,101,113,100,81,47,3,61,594
Brooklynn Miles, Kentucky (SEC),Junior,64,Guard,ncaaw.p.67098,Pittsburgh,32,957,66,170,38.8,8,40,20,44,72,61.1,19,72,91,96,77,38,4,59,184
Tess Heal, Santa Clara (WCC),Sophomore,70,Guard,ncaaw.p.71685,Stanford,31,979,202,418,48.3,29,78,37.2,175,200,87.5,28,87,115,149,124,23,8,58,608
Paige Kohler, Bowling Green (MAC),Freshman,68,Guard,ncaaw.p.112583,Bowling Green,29,961,100,301,33.2,36,134,26.9,75,95,78.9,12,108,120,107,84,27,1,79,311
Cara McCormack, Holy Cross (Patriot),Senior,63,Guard,ncaaw.p.64142,Drexel,29,916,104,301,34.6,49,161,30.4,40,52,76.9,17,79,96,93,73,20,6,71,297
Abby Schulte, North Dakota St. (Summit League),Senior,70,Guard,ncaaw.p.64889,N. Dak. St.,29,817,65,162,40.1,15,39,38.5,61,79,77.2,12,67,79,85,69,39,5,68,206
Gigi Gonzalez, Stony Brook (CAA),Senior,67,Guard,ncaaw.p.60337,Stony Brook,28,865,150,369,40.7,38,119,31.9,108,131,82.4,30,82,112,141,113,40,0,48,446
Kylie Kornegay-Lucas, Towson (CAA),Senior,70,Guard,ncaaw.p.60498,Towson,28,878,128,394,32.5,26,93,28,72,87,82.8,40,185,225,94,80,66,33,84,354
Alyssa Ustby, North Carolina (ACC),Senior,73,Guard,ncaaw.p.65368,N. Carolina,31,1047,165,345,47.8,3,11,27.3,52,87,59.8,98,191,289,112,88,53,40,105,385
Genesis Bryant, Illinois (Big Ten),Senior,66,Guard,ncaaw.p.65146,Illinois,29,980,138,354,39,56,163,34.4,76,89,85.4,11,80,91,99,75,37,4,72,408
Emma Utterback, Vermont (America East),Senior,68,Guard,ncaaw.p.61471,Vermont,31,1006,189,424,44.6,15,67,22.4,58,97,59.8,16,73,89,123,103,34,8,64,451
Jordan McLaughlin, Old Dominion (Sun Belt),Senior,67,Guard,ncaaw.p.60636,Old Dominion,30,909,109,304,35.9,23,80,28.8,69,90,76.7,23,90,113,93,69,35,4,51,310
Colbi Maples, Cleveland St. (Horizon),Junior,68,Guard,ncaaw.p.66861,Cleveland St.,32,922,181,401,45.1,29,81,35.8,143,206,69.4,23,47,70,138,104,60,2,60,534
Kiyley Flowers, Southeast Mo. St. (OVC),Junior,67,Guard,ncaaw.p.66885,Eastern Illinois,28,801,50,148,33.8,14,62,22.6,36,57,63.2,9,98,107,99,81,74,15,78,150
Elise Williams, Wake Forest (ACC),Junior,69,Guard,ncaaw.p.66451,Wake Forest,31,996,134,385,34.8,47,148,31.8,96,116,82.8,25,129,154,116,92,61,10,73,411
Quinesha Lockett, Toledo (MAC),Senior,70,Guard,ncaaw.p.60574,Toledo,23,669,132,299,44.1,22,87,25.3,73,94,77.7,35,107,142,74,62,29,8,49,359
Abby Antognoli, Lafayette (Patriot),Junior,67,Guard,ncaaw.p.67438,Lafayette,29,1084,130,335,38.8,55,153,35.9,32,39,82.1,13,91,104,91,75,37,2,12,347
Kelsey Ransom, Georgetown (Big East),Senior,70,Guard,ncaaw.p.64872,Georgetown,31,1095,156,411,38,19,84,22.6,94,126,74.6,34,110,144,132,111,69,13,86,425
Samara Spencer, Arkansas (SEC),Junior,69,Guard,ncaaw.p.66629,Tennessee,32,1109,142,420,33.8,38,147,25.9,124,167,74.3,20,126,146,111,92,42,6,55,446
Jayla Adams, North Florida (ASUN),Senior,66,Guard,ncaaw.p.100967,North Florida,30,987,106,289,36.7,36,120,30,59,78,75.6,30,66,96,98,81,27,8,56,307
Trinity Johnson, USC Upstate (Big South),Senior,67,Guard,ncaaw.p.56872,S.Car. Upstate,30,982,84,236,35.6,13,49,26.5,133,183,72.7,15,109,124,145,118,64,4,89,314
Jiselle Woodson, Northwestern St. (Southland),Senior,65,Guard,ncaaw.p.67040,N'western St.,24,756,88,279,31.5,27,111,24.3,53,72,73.6,20,77,97,77,62,29,5,38,256
Kennedi Grant, Omaha (Summit League),Junior,67,Guard,ncaaw.p.67275,Nebraska Omaha,28,810,104,289,36,13,60,21.7,97,141,68.8,26,63,89,93,77,44,4,75,318
Avery Brittingham, UT Arlington (WAC),Senior,73,Forward,ncaaw.p.64520,UT Arlington,30,866,143,323,44.3,9,35,25.7,71,130,54.6,58,185,243,118,103,46,39,84,366
Makayla Miller, La Salle (Atlantic 10),Senior,67,Guard,ncaaw.p.112429,La Salle,30,814,104,256,40.6,17,60,28.3,68,112,60.7,32,73,105,94,78,54,11,87,293
Kyla Deck, SFA (WAC),Sophomore,69,Guard,ncaaw.p.71131,North Texas,26,878,110,276,39.9,43,120,35.8,57,89,64,8,83,91,80,65,69,2,58,320
Deja Kelly, North Carolina (ACC),Senior,68,Guard,ncaaw.p.65130,Oregon,31,1115,165,471,35,32,111,28.8,157,221,71,15,108,123,101,77,44,9,78,519
Colleen McQuillen, Lehigh (Patriot),Junior,70,Guard,ncaaw.p.66734,Lehigh,26,760,78,180,43.3,35,98,35.7,44,50,88,8,73,81,97,82,34,8,47,235
Tate Walters, Furman (SoCon),Junior,69,Guard,ncaaw.p.64798,Furman,26,693,88,242,36.4,35,107,32.7,49,75,65.3,11,81,92,107,91,30,6,74,260
Lexi Rubel, UT Martin (OVC),Sophomore,73,Forward,ncaaw.p.71400,Tenn-Martin,30,1095,98,203,48.3,7,24,29.2,62,78,79.5,54,161,215,110,94,51,10,69,265
Maddie Scherr, Kentucky (SEC),Senior,71,Guard,ncaaw.p.65059,TCU,26,861,104,310,33.5,36,125,28.8,80,98,81.6,40,84,124,89,77,41,19,71,324
Ainhoa Cea, Lipscomb (ASUN),Sophomore,66,Guard,ncaaw.p.71521,Lipscomb,28,637,50,127,39.4,5,15,33.3,17,20,85,30,86,116,91,79,23,3,65,122
Addi Brownfield, Western Ill. (OVC),Sophomore,69,Guard,ncaaw.p.71471,Western Ill.,30,889,90,248,36.3,15,67,22.4,113,169,66.9,50,112,162,105,92,53,18,83,308
Bella Earle, Abilene Christian (WAC),Junior,70,Guard,ncaaw.p.66592,Abilene Christian,29,1008,120,303,39.6,48,167,28.7,68,87,78.2,68,170,238,113,98,32,7,70,356
Ayanna Khalfani, UNC Greensboro (SoCon),Senior,71,Guard,ncaaw.p.61460,N.C. Greensboro,31,911,139,314,44.3,0,6,0,66,110,60,87,126,213,109,96,41,30,75,344
Kamy Peppler, Milwaukee (Horizon),Sophomore,66,Guard,ncaaw.p.70838,Milwaukee,32,1038,128,330,38.8,65,189,34.4,48,62,77.4,18,94,112,153,135,45,7,84,369
Sidney Love, UTSA (AAC),Sophomore,68,Guard,ncaaw.p.71431,UTSA,29,874,100,286,35,17,88,19.3,66,80,82.5,18,85,103,91,88,39,4,76,283
Chellia Watson, Buffalo (MAC),Senior,68,Guard,ncaaw.p.60460,Buffalo,29,1037,258,606,42.6,50,166,30.1,92,114,80.7,32,120,152,96,87,32,3,59,658
Cameron Brink, Stanford (Pac-12),Senior,76,Forward,ncaaw.p.64493,Stanford,30,762,188,364,51.6,17,63,27,140,162,86.4,84,273,357,86,73,22,103,79,533
Lucy Cochrane, Portland (WCC),Senior,78,Forward,ncaaw.p.60872,Portland,30,871,97,233,41.6,2,19,10.5,32,51,62.7,43,152,195,76,60,20,95,31,228
Taiyanna Jackson, Kansas (Big 12),Senior,78,Center,ncaaw.p.67821,Kansas,30,795,159,271,58.7,0,1,0,61,126,48.4,108,187,295,12,81,31,94,104,379
Angel Jackson, Jackson St. (SWAC),Senior,77,Center,ncaaw.p.60884,Jackson St.,29,711,104,220,47.3,3,5,60,83,101,82.2,61,133,194,27,36,28,79,66,294
Anastasiia Boldyreva, Middle Tenn. (CUSA),Junior,78,Center,ncaaw.p.67015,Middle Tenn. St.,30,910,186,311,59.8,11,28,39.3,58,102,56.9,88,166,254,30,62,23,88,75,441
Caitlin Weimar, Boston U. (Patriot),Senior,76,Forward,ncaaw.p.64464,N.C. State,28,987,199,359,55.4,0,0,,121,177,68.4,76,219,295,54,69,37,80,74,519
Josie Hill, Chicago St. (DI Independent),Sophomore,73,Center,ncaaw.p.70946,Chicago St.,27,798,99,224,44.2,1,9,11.1,49,59,83.1,58,140,198,41,75,26,76,75,248
Serah Williams, Wisconsin (Big Ten),Sophomore,76,Forward,ncaaw.p.71497,Wisconsin,27,837,177,341,51.9,8,23,34.8,118,151,78.1,88,217,305,23,102,19,77,72,480
Ayoka Lee, Kansas St. (Big 12),Senior,78,Center,ncaaw.p.56782,Kansas St.,24,631,198,319,62.1,1,1,100,80,116,69,66,135,201,19,30,25,68,55,477
Anna Miller, Drake (MVC),Junior,75,Forward,ncaaw.p.67848,Drake,31,758,165,304,54.3,14,52,26.9,65,95,68.4,84,222,306,65,80,33,82,60,409
Abby Muse, Boise St. (Mountain West),Senior,74,Forward,ncaaw.p.64516,Boise St.,31,785,90,186,48.4,0,0,,50,92,54.3,74,191,265,34,66,36,87,72,230
Makayla Timpson, Florida St. (ACC),Junior,74,Forward,ncaaw.p.67621,Florida St.,33,978,196,346,56.6,1,3,33.3,71,99,71.7,110,221,331,12,42,47,83,73,464
Addie Budnik, Richmond (Atlantic 10),Senior,74,Forward,ncaaw.p.64318,Richmond,33,1028,126,270,46.7,64,156,41,70,81,86.4,37,98,135,82,65,21,83,58,386
Kamilla Cardoso, South Carolina (SEC),Senior,79,Center,ncaaw.p.64660,South Carolina,27,675,152,258,58.9,1,1,100,78,116,67.2,96,164,260,60,45,16,71,52,383
Emily Bowman, Samford (SoCon),Sophomore,77,Center,ncaaw.p.64719,Samford,30,703,89,192,46.4,0,0,,60,113,53.1,83,172,255,17,55,5,74,88,238
Belle Kranbuhl, Monmouth (CAA),Senior,75,Center,ncaaw.p.64497,Monmouth,29,746,69,142,48.6,0,1,0,19,30,63.3,60,160,220,47,60,26,74,73,157
Ashlyn Watkins, South Carolina (SEC),Sophomore,75,Forward,ncaaw.p.71778,South Carolina,31,627,129,222,58.1,0,1,0,49,88,55.7,86,134,220,36,43,38,72,75,307
Christina Dalce, Villanova (Big East),Junior,74,Forward,ncaaw.p.67708,Maryland,30,833,108,252,42.9,0,0,,39,71,54.9,145,146,291,30,52,25,70,89,255
Emily Saunders, Youngstown St. (Horizon),Senior,77,Forward,ncaaw.p.61037,Youngstown St.,32,707,165,285,57.9,0,0,,43,61,70.5,53,168,221,34,62,21,73,75,373
Bella Smuda, Liberty (CUSA),Junior,78,Center,ncaaw.p.63953,Liberty,31,883,183,310,59,1,2,50,99,137,72.3,104,198,302,45,61,19,71,57,466
Maryam Dauda, Arkansas (SEC),Sophomore,76,Forward,ncaaw.p.66633,South Carolina,32,913,112,250,44.8,28,90,31.1,59,77,76.6,75,125,200,40,64,23,73,94,311
Natalia Ackerman, Cal Poly (Big West),Senior,73,Forward,ncaaw.p.64011,California,29,750,137,232,59.1,1,4,25,77,106,72.6,73,179,252,22,66,36,60,83,352
Julia Ayrault, Michigan St. (Big Ten),Senior,74,Guard,ncaaw.p.60796,Michigan St.,30,750,175,340,51.5,37,105,35.2,76,101,75.2,34,182,216,69,41,37,64,85,463
Elizabeth Kitley, Virginia Tech (ACC),Senior,78,Center,ncaaw.p.60505,Virginia Tech,29,995,278,500,55.6,2,5,40,103,133,77.4,97,233,330,52,62,17,60,50,661
Lauren Betts, UCLA (Pac-12),Sophomore,79,Center,ncaaw.p.71129,UCLA,27,717,171,262,65.3,0,0,,56,90,62.2,98,144,242,23,58,13,55,47,398
Rayah Marshall, Southern California (Pac-12),Junior,76,Forward,ncaaw.p.67284,USC,27,771,111,236,47,0,1,0,54,80,67.5,73,202,275,40,35,28,58,62,276
Kate Bullman, Illinois St. (MVC),Senior,74,Forward,ncaaw.p.64434,Illinois St.,30,922,78,202,38.6,36,94,38.3,39,55,70.9,24,215,239,79,57,25,64,62,231
Riley Stack, Coastal Carolina (Sun Belt),Freshman,76,Center,ncaaw.p.113046,Coastal Car.,33,573,44,119,37,8,35,22.9,9,12,75,12,83,95,31,32,12,66,56,105
Essence Cody, Alabama (SEC),Freshman,76,Forward,ncaaw.p.112105,Alabama,32,712,91,205,44.4,5,22,22.7,65,108,60.2,84,117,201,9,58,22,63,116,252
Tayra Eke, Eastern Mich. (MAC),Junior,75,Guard,ncaaw.p.68129,Washington,29,783,116,241,48.1,1,4,25,43,57,75.4,61,152,213,33,82,23,57,65,276
Cordasia Harris, Alabama St. (SWAC),Senior,73,Forward,ncaaw.p.71381,Alabama St.,27,735,141,266,53,7,26,26.9,49,90,54.4,75,157,232,14,62,24,53,81,338
Ashley Sofilkanich, Bucknell (Patriot),Freshman,75,Forward,ncaaw.p.113407,Bucknell,30,865,136,304,44.7,1,3,33.3,98,146,67.1,66,124,190,35,62,30,59,83,371
Jada Tiggett, N.C. Central (MEAC),Freshman,74,Guard,ncaaw.p.113273,N.C. Central,23,415,56,131,42.7,1,10,10,16,34,47.1,40,63,103,11,41,20,46,46,129
Millie Prior, Davidson (Atlantic 10),Junior,74,Forward,ncaaw.p.66731,Davidson,26,709,106,190,55.8,0,1,0,44,73,60.3,79,118,197,38,61,24,49,65,256
Brooklyn Meyer, South Dakota St. (Summit League),Sophomore,74,Forward,ncaaw.p.71397,S. Dakota St.,30,826,203,344,59,0,0,,101,165,61.2,77,160,237,52,74,28,56,68,507
Destiny Brown, Alcorn (SWAC),Junior,75,Center,ncaaw.p.71225,Alcorn St.,28,712,132,259,51,2,12,16.7,82,127,64.6,62,148,210,54,59,31,51,75,348
Dalayah Daniels, Washington (Pac-12),Junior,76,Forward,ncaaw.p.65184,Washington,30,848,139,309,45,9,37,24.3,69,109,63.3,73,139,212,51,69,29,56,84,356
Amaya Dowdy, LIU (NEC),Junior,72,Forward,ncaaw.p.67864,LIU Brooklyn,23,514,68,145,46.9,0,2,0,46,68,67.6,53,85,138,15,55,26,42,83,182
Taylor Jones, Texas (Big 12),Senior,76,Forward,ncaaw.p.60854,Texas,28,587,137,222,61.7,0,1,0,87,130,66.9,63,130,193,7,42,28,53,78,361
Macy McGlone, Eastern Ill. (OVC),Junior,74,Forward,ncaaw.p.64191,Eastern Illinois,33,1159,236,471,50.1,8,26,30.8,108,138,78.3,141,251,392,55,112,35,60,82,588
Iycez Adams, Elon (CAA),Junior,71,Forward,ncaaw.p.67658,Elon,26,719,117,252,46.4,0,2,0,28,56,50,49,135,184,19,64,30,48,65,262
Breya Cunningham, Arizona (Pac-12),Freshman,76,Forward,ncaaw.p.112003,Arizona,32,685,113,220,51.4,0,0,,24,46,52.2,56,97,153,19,44,32,58,121,250
